,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation accuracy
200,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.5,True,SGD,[5],0.8294117647058823
201,Lrelu,32.0,2000,1e-06,0.01,0.0,0.5,True,SGD,[3],0.8235294117647058
202,Lrelu,32.0,2000,1e-06,0.7,0.01,0.5,False,SGD,[5],0.8176470588235294
203,Lrelu,32.0,2000,1e-06,0.01,0.0001,0.5,True,SGD,[3],0.8176470588235294
204,Lrelu,32.0,2000,1e-06,0.5,0.001,0.5,False,SGD,[2],0.8117647058823529
205,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.5,False,SGD,[2],0.8117647058823529
206,Lrelu,32.0,2000,1e-06,0.5,0.0,0.5,False,SGD,[2],0.8117647058823529
207,Lrelu,32.0,2000,1e-06,0.01,0.001,0.5,True,SGD,[3],0.8058823529411765
208,Lrelu,32.0,2000,1e-06,0.5,0.0,0.0,False,SGD,[2],0.8058823529411765
209,Lrelu,32.0,2000,1e-06,0.5,0.0,0.0,True,SGD,[2],0.8058823529411765
210,Lrelu,32.0,2000,1e-06,0.1,0.0,0.9,False,SGD,[5],0.8
211,Lrelu,32.0,2000,1e-06,0.5,0.01,0.5,False,SGD,[2],0.8
212,Lrelu,32.0,2000,1e-06,0.1,0.001,0.5,False,SGD,[2],0.8
213,Lrelu,32.0,2000,1e-06,0.5,0.001,0.0,False,SGD,[2],0.7999999999999999
214,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.0,False,SGD,[2],0.7999999999999999
215,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.0,True,SGD,[2],0.7999999999999999
216,Lrelu,32.0,2000,1e-06,0.5,0.001,0.0,True,SGD,[2],0.7999999999999999
217,Lrelu,32.0,2000,1e-06,0.5,0.01,0.0,False,SGD,[2],0.7941176470588236
218,Lrelu,32.0,2000,1e-06,0.5,0.01,0.0,True,SGD,[2],0.7941176470588236
219,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.5,True,SGD,[2],0.7941176470588236
220,Lrelu,32.0,2000,1e-06,0.5,0.01,0.9,False,SGD,[2],0.7941176470588236
221,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.9,False,SGD,[5],0.7882352941176471
222,Lrelu,32.0,2000,1e-06,0.1,0.001,0.5,True,SGD,[2],0.7882352941176469
223,Lrelu,32.0,2000,1e-06,0.1,0.0,0.5,False,SGD,[2],0.7823529411764706
224,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.5,False,SGD,[2],0.7823529411764706
225,Lrelu,32.0,2000,1e-06,0.5,0.001,0.0,True,SGD,[5],0.7764705882352942
226,Lrelu,32.0,2000,1e-06,0.7,0.0,0.5,False,SGD,[5],0.7764705882352942
227,Lrelu,32.0,2000,1e-06,0.5,0.001,0.0,False,SGD,[5],0.7764705882352942
228,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.0,False,SGD,[5],0.7764705882352942
229,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.0,True,SGD,[5],0.7764705882352942
230,Lrelu,32.0,2000,1e-06,0.7,0.001,0.0,False,SGD,[2],0.7764705882352941
231,Lrelu,32.0,2000,1e-06,0.7,0.001,0.0,True,SGD,[2],0.7764705882352941
232,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.0,False,SGD,[2],0.7764705882352941
233,Lrelu,32.0,2000,1e-06,0.1,0.01,0.5,True,SGD,[2],0.7764705882352941
234,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.0,True,SGD,[2],0.7764705882352941
235,Lrelu,32.0,2000,1e-06,0.7,0.0,0.0,True,SGD,[2],0.7764705882352941
236,Lrelu,32.0,2000,1e-06,0.01,0.01,0.9,False,SGD,[5],0.7764705882352941
237,Lrelu,32.0,2000,1e-06,0.01,0.01,0.9,True,SGD,[5],0.7764705882352941
238,Lrelu,32.0,2000,1e-06,0.7,0.0,0.0,False,SGD,[2],0.7764705882352941
239,Lrelu,32.0,2000,1e-06,0.5,0.0,0.0,True,SGD,[5],0.7705882352941178
240,Lrelu,32.0,2000,1e-06,0.5,0.0,0.0,False,SGD,[5],0.7705882352941178
241,Lrelu,32.0,2000,1e-06,0.1,0.01,0.0,False,SGD,[5],0.7705882352941177
242,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.5,False,SGD,[5],0.7705882352941177
243,Lrelu,32.0,2000,1e-06,0.7,0.001,0.5,False,SGD,[5],0.7705882352941177
244,Lrelu,32.0,2000,1e-06,0.1,0.01,0.0,True,SGD,[5],0.7705882352941177
245,Lrelu,,2000,1e-06,0.7,0.0,0.5,True,SGD,[2],0.7705882352941176
246,Lrelu,32.0,2000,1e-06,0.7,0.0,0.5,True,SGD,[2],0.7705882352941176
247,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.5,True,SGD,[2],0.7705882352941176
248,Lrelu,,2000,1e-06,0.7,0.001,0.5,True,SGD,[2],0.7705882352941176
249,Lrelu,,2000,1e-06,0.7,0.0001,0.5,True,SGD,[2],0.7705882352941176
250,Lrelu,,2000,1e-06,0.1,0.01,0.0,True,SGD,[3],0.7705882352941176
251,Lrelu,,2000,1e-06,0.1,0.01,0.0,False,SGD,[3],0.7705882352941176
252,Lrelu,32.0,2000,1e-06,0.5,0.01,0.0,False,SGD,[5],0.7647058823529412
253,Lrelu,32.0,2000,1e-06,0.5,0.01,0.0,True,SGD,[5],0.7647058823529412
